vive_en,vive_con,estado_civil,cuota_institucion_anterior,cuota_beca,miembros_familiares,egresos_familiares_por_estudios,valor_propiedades,valor_vehiculo,valor_bienes_muebles,ingresos_familiares,detalle_egresos_familiares,cuota_asignada
4,3,1,1,1,1,3,1,3,3,2,3,107
3,0,3,3,0,3,3,1,3,3,2,2,107
4,3,1,4,0,2,3,1,3,3,3,0,109
4,2,3,2,0,3,3,3,3,3,2,2,113
0,0,3,2,2,3,3,3,2,3,3,1,106
4,3,1,3,0,0,3,2,2,3,3,0,104
0,1,0,4,0,3,4,2,3,3,2,3,106
3,2,2,0,0,3,4,3,3,3,3,0,107
3,3,2,4,0,1,3,4,1,3,3,1,110
3,2,3,4,0,3,3,2,3,3,3,1,113
0,2,3,0,0,3,3,3,3,3,2,3,106
